字典属性,商品属性,相似性,商品属性所在短句,短句积极性,短句消极性,置信度,情感类别
正品,正品,1.0,是正品药,0.972779,0.0272211,0.939509,2
包装,正品,0.89,是正品药,0.972779,0.0272211,0.939509,2
味道,味道,1.0,和药店味道一模一样,0.962248,0.0377518,0.916107,2
价格,价格,1.0,价格还便宜一点,0.517149,0.482851,0.657013,1
正品,常用药,0.866,需要买常用药,0.591144,0.408856,0.0914304,2
正品,处方药,0.702,处方药可以买这家店的很好,0.995814,0.00418606,0.990698,2
效果,效果,1.0,效果较好,0.99934,0.000659659,0.998534,2
效果,LH,0.865,LH价格也很划算,0.999342,0.00065761,0.998539,2
价格,价格,1.0,LH价格也很划算,0.999342,0.000657612,0.998539,2
包装,标识,0.888,有防伪标识,0.968228,0.0317718,0.929396,2
效果,几盒,0.857,买几盒在家有备无患12,0.922465,0.0775346,0.827701,2
效果,效果,1.0,效果一样的,0.989945,0.0100547,0.977656,2
正品,正品,1.0,看起来应该是正品,0.993545,0.00645473,0.985656,2
包装,正品,0.89,看起来应该是正品,0.993545,0.00645474,0.985656,2
正品,咳品,0.866,咳品感冒上午收到了了,0.222913,0.777087,0.504639,0
包装,咳品,0.862,咳品感冒上午收到了了,0.222913,0.777087,0.504638,0
发货,收到,0.874,咳品感冒上午收到了了,0.222913,0.777087,0.504639,0
正品,券,0.877,券拍的便宜,0.943493,0.0565066,0.87443,2
发货,发热,0.858,发热十分均匀,0.957285,0.0427147,0.905079,2
包装,标识,0.888,伪标识,0.00265658,0.997343,0.994096,0
效果,疗效,1.0,疗效很大,0.994751,0.00524894,0.988336,2
效果,效果,1.0,效果特别不,0.00921541,0.990785,0.979521,0
价格,价格,1.0,价格很实惠,0.998653,0.00134694,0.997007,2
正品,正品,1.0,是正品,0.998528,0.00147158,0.99673,2
包装,正品,0.89,是正品,0.998528,0.00147158,0.99673,2
效果,效果,1.0,三九感冒药效果非常好,0.999665,0.000334873,0.999256,2
正品,正品,1.0,正品很好,0.999813,0.000187169,0.999584,2
