字典属性,商品属性,相似性,商品属性所在短句,短句积极性,短句消极性,置信度,情感类别
效果,LH,0.865,LH效果非常好,0.999803,0.00019669,0.999563,2
效果,效果,1.0,LH效果非常好,0.999803,0.00019669,0.999563,2
正品,正品,1.0,都是正品药,0.983803,0.016197,0.964007,2
包装,正品,0.89,都是正品药,0.983803,0.016197,0.964007,2
质量,回购,0.856,每次感冒都得回购,0.966473,0.0335271,0.925495,2
发货,提议,0.858,好好分场合白崇禧提议移民,0.993798,0.00620182,0.986218,2
效果,见效,0.871,之前用着挺见效,0.95812,0.0418801,0.906933,2
效果,效果,1.0,之前用着很好效果可以确认收货宜,0.954764,0.0452364,0.899475,2
发货,收货,1.0,之前用着很好效果可以确认收货宜,0.954764,0.0452364,0.899475,2
物流,物流,1.0,些感冒药物流太快了,0.266119,0.733881,0.408624,0
发货,进,0.862,已经进一件几百元的东西,0.279216,0.720784,0.379519,0
发货,卖家,0.729,当非常感谢卖家能卖出这,0.876246,0.123754,0.724991,2
正品,正品,1.0,正品很好,0.999813,0.000187168,0.999584,2
包装,正品,0.89,正品很好,0.999813,0.000187169,0.999584,2
正品,正品,1.0,是正品,0.998528,0.00147158,0.99673,2
包装,正品,0.89,是正品,0.998528,0.00147158,0.99673,2
正品,包装,0.89,包装精致,0.998263,0.00173723,0.99614,2
包装,包装,1.0,包装精致,0.998263,0.00173723,0.99614,2
发货,收到,0.874,感觉药已收到,0.309813,0.690186,0.311525,0
正品,药品,0.879,药品货真价实是正品,0.997333,0.00266657,0.994074,2
包装,药品,0.878,药品货真价实是正品,0.997333,0.00266657,0.994074,2
正品,正品,1.0,药品货真价实是正品,0.997333,0.00266657,0.994074,2
包装,正品,0.89,药品货真价实是正品,0.997333,0.00266657,0.994074,2
发货,囤货,0.888,囤货买的,0.92907,0.0709298,0.842378,2
效果,效果,1.0,秋季买的三九感冒灵颗粒效果挺好的,0.993735,0.00626453,0.986079,2
效果,效果,1.0,冬季在准备几盒感康昨天吃了一粒感觉效果不错,0.996075,0.00392535,0.991277,2
效果,几盒,0.857,冬季在准备几盒感康昨天吃了一粒感觉效果不错,0.996075,0.00392536,0.991277,2
效果,效果,1.0,秋季买的三九感冒灵颗粒效果挺好的,0.993735,0.00626452,0.986079,2
效果,效果,1.0,冬季在准备几盒感康昨天吃了一粒感觉效果不错,0.996075,0.00392535,0.991277,2
质量,回购,0.856,需要再来回购,0.986529,0.0134711,0.970064,2
正品,正品,1.0,都是正品,0.999317,0.000682774,0.998483,2
包装,正品,0.89,都是正品,0.999317,0.000682774,0.998483,2
包装,外面,0.863,外面现在已经买不到感冒药了,0.0725638,0.927436,0.838747,0
发货,囤货,0.888,囤货用,0.697724,0.302276,0.328275,2
物流,物流,1.0,物流太快了,0.231136,0.768864,0.486364,0
正品,正,0.852,正感冒没药呢,0.553843,0.446157,0.00853936,2
效果,及时雨,0.855,及时雨啊,0.604081,0.395919,0.120181,2
服务,客服,0.878,客服态度很好,0.982881,0.0171188,0.961958,2
价格,价格,1.0,并且价格实惠,0.999777,0.000222534,0.999505,2
效果,常备,0.854,家里常备的药都在这里买,0.998799,0.0012012,0.997331,2
物流,物流,1.0,宝贝挺好挺好的物流好快,0.998959,0.00104093,0.997687,2
正品,正品,1.0,正品医药,0.989891,0.0101093,0.977535,2
包装,正品,0.89,正品医药,0.989891,0.0101093,0.977535,2
价格,价格,1.0,价格也实惠,0.999624,0.00037651,0.999163,2
效果,效果,1.0,治疗效果特别棒,0.99991,9.04174e-05,0.999799,2
发货,发货,1.0,发货很快,0.946432,0.0535677,0.880961,2
发货,收到,0.874,已经收到货了,0.134316,0.865684,0.701519,0
正品,货,0.884,发货很快,0.946432,0.0535677,0.880961,2
正品,货,0.884,已经收到货了,0.134316,0.865684,0.701519,0
发货,货,0.891,发货很快,0.946432,0.0535677,0.880961,2
发货,货,0.891,已经收到货了,0.134316,0.865684,0.701519,0
正品,商品,0.885,商品和描述的差不多,0.567098,0.432902,0.0379954,2
价格,商品,0.884,商品和描述的差不多,0.567098,0.432902,0.0379954,2
包装,商品,0.884,商品和描述的差不多,0.567098,0.432902,0.0379949,2
质量,质量,1.0,质量没问题,0.999531,0.000469072,0.998958,2
价格,价格,1.0,关键价格也合适,0.9998,0.000200394,0.999555,2
效果,效果,1.0,效果不错,0.999498,0.000502392,0.998884,2
服务,咨询,0.88,不过买药最后还是咨询药师的意见,0.821476,0.178524,0.60328,2
质量,回购,0.856,还会继续回购,0.999872,0.000127739,0.999716,2
发货,收到,0.874,宝贝收到了挺好也实惠,0.999612,0.00038776,0.999138,2
发货,囤货,0.888,囤货用,0.697724,0.302276,0.328275,2
正品,包装,0.89,这个感冒药的包装很有特色呀U,0.910502,0.0894976,0.801116,2
包装,包装,1.0,这个感冒药的包装很有特色呀U,0.910502,0.0894976,0.801116,2
