字典属性,商品属性,相似性,商品属性所在短句,短句积极性,短句消极性,置信度,情感类别
正品,包装,0.89,包装还好,0.338692,0.661309,0.247352,0
包装,包装,1.0,包装还好,0.338692,0.661308,0.247352,0
正品,正品,1.0,正品,0.999576,0.000424335,0.999057,2
包装,正品,0.89,正品,0.999576,0.000424335,0.999057,2
发货,发货,1.0,发货很快,0.946432,0.0535677,0.880961,2
发货,下单,1.0,我昨天晚上下单的,0.803786,0.196214,0.563969,2
发货,收到,0.874,今天就收到了,0.862753,0.137247,0.695006,2
效果,效果,1.0,东西真的不错清热解毒颗粒的效果特别好吃了都说好吃了也不太疼不疼人也舒服了,0.999845,0.000154914,0.999656,2
物流,物流,1.0,物流超快,0.998015,0.00198512,0.995589,2
正品,正品,1.0,正品满意,0.999689,0.000310787,0.999309,2
包装,正品,0.89,正品满意,0.999689,0.000310787,0.999309,2
正品,包装,0.89,包装完好,0.975809,0.0241915,0.946241,2
包装,包装,1.0,包装完好,0.975809,0.0241915,0.946241,2
正品,正品,1.0,正品咯,0.999401,0.000599084,0.998669,2
包装,正品,0.89,正品咯,0.999401,0.000599084,0.998669,2
价格,价格,1.0,价格很优惠,0.997776,0.00222439,0.995057,2
味道,味甜,0.851,味甜孩子不抵触吃,0.692239,0.307761,0.316086,2
发货,发货,1.0,发货速度快包装好,0.982887,0.0171132,0.961971,2
质量,速度快,0.712,发货速度快包装好,0.982887,0.0171132,0.961971,2
正品,包装,0.89,发货速度快包装好,0.982887,0.0171132,0.961971,2
包装,包装,1.0,发货速度快包装好,0.982887,0.0171132,0.961971,2
质量,速度快,0.712,速度快,0.999907,9.25521e-05,0.999794,2
质量,质量,1.0,一样的质量,0.823411,0.176589,0.60758,2
正品,产品,0.884,一直在用这个牌子的产品,0.996262,0.00373794,0.991693,2
品牌,产品,1.0,一直在用这个牌子的产品,0.996262,0.00373794,0.991693,2
正品,同价位,0.87,真的是同价位里性价比非常高的了,0.999849,0.000150927,0.999665,2
价格,性价比,0.724,真的是同价位里性价比非常高的了,0.999849,0.000150927,0.999665,2
正品,正品,1.0,正品,0.999576,0.000424335,0.999057,2
包装,正品,0.89,正品,0.999576,0.000424336,0.999057,2
效果,高效,0.874,高效,0.999581,0.000418948,0.999069,2
效果,回头客,0.861,回头客了,0.374152,0.625848,0.16855,0
效果,常备,0.854,家中常备,0.996399,0.00360102,0.991998,2
