字典属性,商品属性,相似性,商品属性所在短句,短句积极性,短句消极性,置信度,情感类别
物流,配送,1.0,配送方便,0.997745,0.00225527,0.994988,2
正品,正规,0.871,正规平台也放心购买,0.99949,0.000510304,0.998866,2
服务,平台,0.887,正规平台也放心购买,0.99949,0.000510304,0.998866,2
正品,常用药,0.866,买了一大堆常用药,0.672107,0.327893,0.271349,2
质量,质量关,0.935,希望把好质量关,0.0134006,0.986599,0.970221,0
价格,价格,1.0,价格实惠,0.999855,0.000145209,0.999677,2
品牌,品牌,1.0,比实体店品牌种类多,0.985689,0.0143106,0.968199,2
品牌,种类,0.87,比实体店品牌种类多,0.985689,0.0143106,0.968199,2
发货,收到,0.874,终于收到我需要的宝贝了,0.997415,0.00258546,0.994255,2
物流,物流,1.0,物流也很快,0.998092,0.00190819,0.99576,2
正品,正品,1.0,是正品价美物廉,0.9939,0.00610022,0.986444,2
包装,正品,0.89,是正品价美物廉,0.9939,0.00610022,0.986444,2
正品,物品,0.876,无论是掌柜的态度还是对物品,0.459655,0.540345,0.193104,1
物流,物品,0.865,无论是掌柜的态度还是对物品,0.459655,0.540345,0.193104,1
包装,物品,0.886,无论是掌柜的态度还是对物品,0.459655,0.540345,0.193104,1
正品,产品,0.884,话说第一次用他们家的产品,0.829976,0.170024,0.622168,2
品牌,产品,1.0,话说第一次用他们家的产品,0.829975,0.170025,0.622168,2
发货,提供,0.869,那么不是浪费心血吗？谢谢店家给我提供这么好的商品,0.146467,0.853533,0.674518,0
服务,提供,0.884,那么不是浪费心血吗？谢谢店家给我提供这么好的商品,0.146467,0.853533,0.674519,0
正品,商品,0.885,那么不是浪费心血吗？谢谢店家给我提供这么好的商品,0.146467,0.853533,0.674519,0
正品,商品,0.885,好商品必须顶呱呱,0.998291,0.00170929,0.996202,2
价格,商品,0.884,那么不是浪费心血吗？谢谢店家给我提供这么好的商品,0.146467,0.853533,0.674518,0
价格,商品,0.884,好商品必须顶呱呱,0.998291,0.00170928,0.996202,2
包装,商品,0.884,那么不是浪费心血吗？谢谢店家给我提供这么好的商品,0.146467,0.853533,0.674519,0
包装,商品,0.884,好商品必须顶呱呱,0.998291,0.00170929,0.996202,2
质量,回购,0.856,下次还会在回购的,0.999905,9.54307e-05,0.999788,2
正品,商品,0.885,那么不是浪费心血吗？谢谢店家给我提供这么好的商品,0.146467,0.853533,0.674519,0
正品,商品,0.885,好商品必须顶呱呱,0.998291,0.00170928,0.996202,2
价格,商品,0.884,那么不是浪费心血吗？谢谢店家给我提供这么好的商品,0.146467,0.853533,0.674519,0
价格,商品,0.884,好商品必须顶呱呱,0.998291,0.00170928,0.996202,2
包装,商品,0.884,那么不是浪费心血吗？谢谢店家给我提供这么好的商品,0.146467,0.853533,0.674519,0
包装,商品,0.884,好商品必须顶呱呱,0.998291,0.00170929,0.996202,2
